Devices
1000
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
11,0,-23.3331,-14.5639,-265.57,44755.2,12584.7,-4723.11,197.388,30.475,0,15.675,-4.41558,-257.128,38176.6,-3319.7,426.637,-162.911,51.5271,0
11,1,-24.2487,-14.5639,-263.739,44755.2,12340.6,-4356.9,196.791,29.305,0,15.3699,-4.41558,-257.128,37810.4,-2587.28,426.637,-160.062,52.9514,0
11,2,-23.028,-15.1743,-260.687,44205.9,12462.6,-4173.8,197.807,29.4256,0,15.675,-5.63629,-255.297,37261,-3197.63,609.742,-162.525,54.0484,0
11,3,-21.1969,-13.6484,-261.298,45121.4,12340.6,-4173.8,197.228,26.318,0,14.4543,-5.63629,-254.077,37627.3,-2221.07,426.637,-158.742,51.9058,0
11,4,-21.1969,-16.0898,-266.791,44755.2,12340.6,-4265.35,196.256,31.2461,0,14.4543,-9.2984,-254.687,38542.8,-3197.63,518.19,-162.555,48.666,0
11,5,-22.1124,-14.5639,-271.674,44755.2,13683.3,-4356.9,200.367,34.2612,0,14.7595,-8.38287,-252.245,37077.9,-3441.77,335.084,-163.645,53.0085,0
11,6,-21.1969,-15.4794,-266.18,44205.9,11852.3,-4265.35,194.527,32.9252,0,13.5388,-8.07769,-254.687,34697.6,-3075.56,609.742,-162.076,63.7638,0
11,7,-20.8917,-13.3432,-264.349,44755.2,13439.2,-4265.35,200.839,29.6968,0,13.5388,-9.90875,-252.856,37627.3,-3685.91,335.084,-164.577,51.1909,0
11,8,-20.2814,-14.8691,-266.18,45304.5,12706.8,-3899.14,197.738,28.7978,0,13.2336,-9.2984,-249.804,36711.7,-3319.7,151.979,-163.289,53.0379,0
11,9,-20.8917,-13.038,-264.96,44205.9,13073,-3990.69,199.34,32.16,0,14.4543,-9.90875,-246.752,36345.5,-3685.91,335.084,-164.938,52.7044,0
12,0,-21.8073,-17.9208,-266.18,43656.6,12706.8,-3899.14,197.738,34.9889,0,13.2336,-10.8243,-247.363,35796.2,-3441.77,518.19,-163.914,55.2886,0
12,1,-20.8917,-17.3105,-259.467,44205.9,12828.9,-3899.14,199.443,28.6279,0,13.2336,-8.68805,-244.311,36345.5,-2709.35,518.19,-161.09,51.2325,0
12,2,-20.5865,-14.2587,-263.129,43656.6,12462.6,-4265.35,197.363,33.0867,0,12.0129,-13.2657,-243.09,34880.7,-3075.56,426.637,-162.652,56.5114,0
12,3,-19.0607,-17.0053,-264.96,43656.6,12828.9,-3990.69,198.418,34.2332,0,12.6233,-13.876,-241.259,35430,-2831.42,335.084,-161.736,53.1455,0
12,4,-20.2814,-18.5312,-266.18,43656.6,12462.6,-4173.8,196.82,34.9889,0,10.7922,-14.1812,-240.649,34697.6,-3197.63,243.531,-163.288,55.8166,0
12,5,-19.3658,-17.3105,-261.298,42924.1,12340.6,-4448.46,197.228,34.727,0,12.0129,-14.1812,-236.376,35613.1,-2709.35,426.637,-161.462,49.3373,0
12,6,-19.3658,-17.6157,-260.077,42924.1,12584.7,-4173.8,198.388,33.956,0,11.7078,-12.9605,-234.545,33965.1,-2587.28,609.742,-161.031,55.1872,0
12,7,-20.5865,-19.4467,-267.401,42191.7,11852.3,-4265.35,194.324,41.2157,0,12.0129,-15.0967,-233.935,33965.1,-2587.28,426.637,-161.06,54.8094,0
12,8,-19.0607,-21.5829,-261.908,42741,12340.6,-4173.8,197.118,35.809,0,11.7078,-15.7071,-229.662,33965.1,-2587.28,426.637,-161.266,52.1084,0
12,9,-19.9762,-18.5312,-253.363,42008.6,11852.3,-4265.35,196.78,33.196,0,11.4026,-16.3174,-229.052,31584.8,-2709.35,518.19,-161.829,62.1066,0
13,0,-19.3658,-20.3622,-258.246,42374.8,12218.5,-4082.25,197.313,34.9129,0,11.7078,-16.0123,-222.949,32134.1,-2587.28,609.742,-161.605,55.8677,0
13,1,-20.5865,-19.4467,-261.298,41825.5,12218.5,-4082.25,196.761,38.9316,0,9.87671,-16.0123,-225.39,32134.1,-2099,243.531,-159.313,57.4289,0
13,2,-17.2296,-21.8881,-252.753,41459.3,12096.4,-4082.25,197.859,34.969,0,10.7922,-16.3174,-219.897,32683.4,-2709.35,518.19,-162.321,51.3694,0
