Devices
1000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
13,2,-32.1832,-9.07074,-356.512,57938.8,14537.8,-4265.35,190.778,36.4846,0,26.6614,-0.143124,-327.929,51360.2,-8812.87,1525.27,-176.874,43.3802,0
13,3,-30.9625,-9.68109,-361.395,57572.6,14171.6,-3990.69,189.214,39.6936,0,24.22,-1.05865,-326.708,52275.7,-8690.79,1708.38,-176.601,39.9928,0
13,4,-34.3195,-9.07074,-352.85,58121.9,14782,-3990.69,191.893,34.2789,0,24.5251,-1.05865,-325.488,52641.9,-8690.79,1616.82,-176.701,38.2676,0
13,5,-30.9625,-8.15521,-358.344,58305,14293.7,-3990.69,189.888,36.293,0,25.1355,-0.753475,-325.488,50994,-9057.01,1616.82,-177.826,43.3306,0
13,6,-30.6573,-6.32416,-355.292,57755.7,14537.8,-4173.8,190.918,36.4415,0,24.5251,-1.05865,-326.098,51909.5,-8690.79,1891.48,-176.651,40.8163,0
13,7,-29.1315,-9.07074,-356.512,57755.7,14049.6,-4082.25,189.408,36.9982,0,25.1355,-2.27935,-326.708,53191.2,-8812.87,1616.82,-176.975,37.1905,0
13,8,-31.2677,-7.54486,-356.512,57755.7,14782,-4082.25,191.463,36.9982,0,25.1355,-0.753475,-327.929,53557.4,-8934.94,1799.93,-177.247,36.6798,0
13,9,-30.9625,-7.85003,-357.123,57938.8,14537.8,-4082.25,190.708,36.7623,0,26.6614,-1.36383,-326.708,52092.6,-8934.94,1799.93,-177.348,40.5532,0
14,0,-30.3522,-9.68109,-355.902,58121.9,14782,-4173.8,191.534,35.6914,0,25.7458,-0.753475,-324.267,53374.3,-8690.79,1708.38,-176.801,35.4,0
14,1,-31.5729,-6.32416,-352.85,57938.8,14171.6,-4082.25,190.163,34.7979,0,25.1355,-0.753475,-326.708,52092.6,-8812.87,1891.48,-176.975,40.5532,0
14,2,-30.047,-10.2914,-351.63,58121.9,14537.8,-4082.25,191.344,33.7071,0,25.7458,-1.97418,-325.488,53008.1,-8690.79,1799.93,-176.701,37.1425,0
